x,y,z
0,3.67997508,0.15689132
1.83709305,-1.00E-08,2.01866417
-1.83709304,-1.00E-08,2.01866417
0,1.83709305,2.01866417
0,-1.83709299,2.01866417
-3.49583571,0,-2.40393033
3.49583571,0,-2.40393033
0,-3.49583571,-2.40393036
0,3.49583571,-2.40393033
-4.34456256,0,2.6503941
4.34456256,0,2.6503941
0,-4.34456259,2.65039411
0,4.34456256,2.65039411
1.30539967,1.30539967,-2.86543304
-1.30539968,-1.30539966,-2.86543304
-1.30539967,1.30539967,-2.86543304
1.30539967,-1.30539967,-2.86543304
3.55259088,0,2.19486758
-3.55259088,0,2.19486758
0,3.55259087,2.19486758
0,-3.55259087,2.19486758
4.14010872,0,-1.55727139
-4.14010872,0,-1.55727139
0,4.14010873,-1.55727139
0,-4.14010873,-1.55727139
-1.83604874,0,-2.72473603
1.83604874,0,-2.72473603
0,-1.83604871,-2.72473599
0,1.83604871,-2.72473599
-1.99783173,0,-0.04995147
1.99783173,0,-0.04995147
0,-1.99783176,-0.04995141
0,1.99783176,-0.04995141
1.31927067,1.31927067,2.13709127
-1.31927067,-1.31927067,2.13709127
-1.31927067,1.31927067,2.13709127
1.31927067,-1.31927067,2.13709127
3.26399962,-0.38357432,-0.96538516
-3.2640005,0.38357658,-0.96538897
0.13104408,3.07840274,-1.0431857
-0.13103568,-3.07840316,-1.04318936
2.49940083,0.36837969,1.4091781
-2.49939845,-0.36837988,1.40918245
0.81391513,2.41592322,1.40783996
-0.81391436,-2.41592167,1.40784386
-4.16221493,1.34327658,-3.21020876
4.16221761,-1.3432761,-3.21021174
2.22000449,-2.5685168,-1.99819325
-2.22001167,2.56851374,-1.9981963
1.62664858,1.34167646,3.68873396
-1.62664744,-1.34167483,3.6887312
-0.86106721,1.03847345,2.89342647
0.86106371,-1.03847653,2.89342664
-2.4935157,-2.08867285,-0.59434264
2.49351199,2.08867385,-0.59434195
1.67734448,-1.98117982,0.54278344
-1.6773446,1.98117964,0.54278411
-4.42204098,-1.50E-07,1.82161246
4.42204094,-1.30E-07,1.8216116
1.10E-07,-4.422041,1.82161126
8.00E-08,4.42204107,1.82161256
-3.58559642,9.60E-07,-0.64986451
3.58559568,2.81E-06,-0.64986495
-2.30E-07,-3.58559548,-0.64986515
-2.27E-06,3.58559658,-0.64986447
1.86577418,1.10E-07,1.408838
-1.86577437,-8.00E-08,1.40883797
-1.00E-07,1.86577443,1.40883799
8.00E-08,-1.86577415,1.40883804
-3.01210947,-3.01211444,-1.72010509
3.01211549,3.01210856,-1.72010514
3.01211013,-3.01211359,-1.72010499
-3.01211145,3.0121125,-1.72010507
-1.30976019,-1.3097595,-0.86048013
1.30975862,1.309761,-0.8604801
1.30976024,-1.30975903,-0.86048015
-1.30976007,1.30975952,-0.86048014
-3.45053383,-0.6240154,-2.12235028
3.45053379,0.62401539,-2.12235025
0.13443058,-3.30844042,-0.98096407
-0.13443059,3.30844043,-0.98096409
2.75368507,0.09444711,0.33820883
-2.75368515,-0.09444709,0.33820884
0.42746913,1.31964341,0.64994999
-0.42746888,-1.31964526,0.64995186
1.31690666,-0.49481838,2.47458712
-1.3169067,0.49481834,2.47458716
0.69617057,1.90039095,3.35656966
-0.69617057,-1.90039093,3.35656962
-0.81014618,-1.02818529,-2.0867661
0.8101467,1.02818613,-2.08676702
1.79115336,-1.37796559,-1.67192262
-1.79115387,1.37796662,-1.67192351
-2.38680413,-2.57055236,-0.69367001
2.38680409,2.57055232,-0.69367003
1.96394376,-2.43021514,0.73635745
-1.96394383,2.43021518,0.73635746
-2.28259657,0.12722234,-1.87854145
2.28259657,-0.12722234,-1.87854145
-0.04120866,-1.3165395,-2.29404975
0.04120866,1.3165395,-2.29404975
3.49409418,0.82504068,0.2732279
-3.49409418,-0.82504068,0.2732279
-0.02441881,3.35664321,-0.30098775
0.02441881,-3.35664321,-0.30098775
0.88499044,0.96302652,0.31445822
-0.88499044,-0.96302652,0.31445822
-1.88091976,1.48191708,0.39905012
1.88091976,-1.48191708,0.39905012
-2.23436133,-2.45160599,-1.46027334
2.23436133,2.45160599,-1.46027334
2.09303324,-2.77205874,-1.9094554
-2.09303324,2.77205874,-1.9094554
-2.26885065,-3.07568799,1.04921874
2.26885065,3.07568799,1.04921874
2.47965764,-4.04401057,0.31941298
-2.47965764,4.04401057,0.31941298
2.78985905,0.4751694,-0.07306173
-2.78985905,-0.47516941,-0.07306172
0.3784528,1.3410606,0.48546847
-0.37845279,-1.34106057,0.48546847
-4.64300592,1.36731822,-0.23051073
4.64300591,-1.36731822,-0.23051077
0.34737495,-3.35574732,-1.05546347
-0.34737486,3.35574729,-1.05546346
-2.12440132,-3.23662373,-0.07574314
2.12440118,3.23662364,-0.07574343
2.18709251,-2.10737384,0.37002626
-2.18709252,2.10737382,0.37002631
-1.42773104,-1.68791216,-2.04298003
1.42773111,1.68791254,-2.04297983
1.06618441,-0.87692463,-1.73472866
-1.06618449,0.87692444,-1.73472867
2.53170286,1.90360555,2.11633968
-2.53170284,-1.90360566,2.11633956
-1.34886184,0.41166314,2.24065347
1.34886189,-0.41166311,2.24065346
2.21407838,-0.1567896,3.45645103
-2.21407838,0.1567896,3.45645103
0.06533573,1.32470432,2.97064694
-0.06533573,-1.32470432,2.97064694
-1.38947607,-0.17250038,0.98096415
1.38947607,0.17250038,0.98096415
-0.08867526,-2.50445014,0.60759151
0.08867526,2.50445014,0.60759151
1.40813768,1.58388767,-4.07505695
-1.40813768,-1.58388767,-4.07505695
-0.99762386,0.88698906,-3.31446725
0.99762386,-0.88698906,-3.31446725
-0.92715102,-1.0394628,-1.47892862
0.92715102,1.0394628,-1.47892862
1.80544615,-1.57546003,-0.92963927
-1.80544615,1.57546003,-0.92963927
-2.61401496,-2.42176668,0.02074481
2.61401496,2.42176668,0.02074481
2.22945936,-2.19426836,1.76169365
-2.22945936,2.19426836,1.76169365
1.9408805,-2.40E-07,1.3317497
-1.9408805,3.00E-07,1.3317497
-2.70E-07,1.9408805,1.3317497
2.80E-07,-1.9408805,1.3317497
-3.1748714,-4.00E-08,-1.14578504
3.1748714,4.00E-08,-1.14578504
-3.00E-08,-3.1748714,-1.14578504
3.00E-08,3.1748714,-1.14578504
2.32472945,2.32472944,2.46943411
-2.32472946,-2.32472947,2.46943414
-2.32472923,2.32472923,2.46943381
2.32472924,-2.32472925,2.46943383
1.31934058,1.31934058,-2.50651827
-1.31934058,-1.31934058,-2.50651827
-1.31934057,1.31934057,-2.5065183
1.31934057,-1.31934057,-2.5065183
-2.21834753,-2.21834753,-0.14888047
2.21834753,2.21834752,-0.14888045
2.2183475,-2.21834751,-0.14888024
-2.2183475,2.2183475,-0.14888022
-1.9724188,0,-1.33206683
1.9724188,0,-1.33206683
0,-1.9724188,-1.33206683
0,1.9724188,-1.33206683
1.97129599,0,1.3317248
-1.97129599,0,1.3317248
0,1.97129599,1.3317248
0,-1.97129599,1.3317248
1.31514487,1.31514487,3.5496308
-1.31514487,-1.31514487,3.5496308
-1.31514487,1.31514487,3.5496308
1.31514487,-1.31514487,3.5496308
-2.25563386,-2.25563386,9.70E-05
2.25563386,2.25563386,9.70E-05
2.25563386,-2.25563386,9.70E-05
-2.25563386,2.25563386,9.70E-05
1.31507613,1.31507613,-3.54938578
-1.31507613,-1.31507613,-3.54938578
-1.31507613,1.31507613,-3.54938578
1.31507613,-1.31507613,-3.54938578
1.86570228,0,-2.13778945
-1.86570228,0,-2.13778945
0,1.86570228,-2.13778945
0,-1.86570228,-2.13778945
2.92717239,2.92717239,1.55625424
-2.92717239,-2.92717239,1.55625424
-2.92717239,2.92717239,1.55625424
2.92717239,-2.92717239,1.55625424
-1.41222621,-1.41222621,0.04940476
1.41222621,1.41222621,0.04940476
1.41222621,-1.41222621,0.04940476
-1.41222621,1.41222621,0.04940476
1.29831503,1.29831503,2.72465732
-1.29831503,-1.29831503,2.72465732
-1.29831503,1.29831503,2.72465731
1.29831503,-1.29831503,2.72465731
2.51247973,2.51247973,-2.19252686
-2.51247973,-2.51247973,-2.19252686
-2.51247973,2.51247973,-2.19252686
2.51247973,-2.51247973,-2.19252686
1.33929305,0.00934706,1.40195578
-1.33864418,-0.00915595,1.40110023
-0.01517415,2.2301958,1.2905012
0.01555972,-2.23004018,1.29064633
-1.43520457,-1.18825696,-3.41927876
1.435025,1.18769979,-3.41888951
1.15910279,-1.39757607,-3.4241928
-1.15933951,1.39735172,-3.42460936
-2.58472115,-2.2962126,1.31193113
2.58498396,2.29631886,1.31177338
2.61662215,-2.25960021,1.30217386
-2.61624582,2.25941292,1.30320523
1.36243695,1.39833017,-0.8414892
-1.36335079,-1.39859484,-0.84204102
-1.37096678,1.37739665,-0.84518901
1.37010792,-1.37658068,-0.84495026
4.32032881,4.16692952,1.62147396
-4.31986371,-4.16700761,1.62083332
-4.36446987,4.11983821,1.60227853
4.3645202,-4.11979561,1.60276695
-1.86592963,0,2.13815612
1.86592963,0,2.13815612
0,-1.86592963,2.13815612
0,1.86592963,2.13815612
-2.92719461,-2.92719461,-1.55564753
2.92719461,2.92719461,-1.55564753
2.92719461,-2.92719461,-1.55564753
-2.92719461,2.92719461,-1.55564753
1.41196722,1.41196722,-0.049338
-1.41196722,-1.41196722,-0.049338
-1.41196722,1.41196722,-0.049338
1.41196723,-1.41196723,-0.049338
-1.29833056,-1.29833056,-2.72476394
1.29833056,1.29833056,-2.72476394
1.29833056,-1.29833056,-2.72476393
-1.29833056,1.29833056,-2.72476393
-2.51235097,-2.51235097,2.19159334
2.51235097,2.51235097,2.19159334
2.51235097,-2.51235097,2.19159334
-2.51235097,2.51235097,2.19159334
-5.05304304,-5.0530729,4.19174489
5.05290916,5.05291229,4.1926016
4.12301701,-4.12758645,1.64576906
-4.12762056,4.12282504,1.64599015
3.44752172,3.44752061,3.00337501
-3.44708214,-3.44705925,3.00415814
-4.70188137,4.70184328,-0.79663829
4.70196474,-4.70199802,-0.79687446
-2.41509715,-2.41501003,0.86253419
2.41568329,2.41565846,0.8615804
2.91607765,-2.91259697,-0.32068598
-2.91231562,2.91602916,-0.32064453
-0.92248892,-0.92216789,5.59947348
0.92352746,0.92380298,5.59867861
0.92442273,-0.92398979,3.73536319
-0.9242292,0.92470008,3.7355761
1.601944,1.60179611,3.18031259
-1.60147774,-1.6015553,3.18155248
-2.33651243,2.33454229,2.12068666
2.33468042,-2.33659371,2.12067352
1.3027091,1.30270905,1.3919842
-1.30270903,-1.30270908,1.39198417
-1.30270897,1.30270898,1.39198401
1.30270899,-1.30270898,1.39198403
2.94966372,2.94966372,-2.56450597
-2.94966372,-2.94966372,-2.56450596
-2.9496637,2.9496637,-2.56450594
2.94966371,-2.94966371,-2.56450596
2.94995956,2.94995956,2.5643954
-2.94995957,-2.94995957,2.56439541
-2.94995958,2.94995958,2.56439543
2.94995958,-2.94995958,2.56439542
-2.88038981,-2.88038981,-8.92E-05
2.88038981,2.88038981,-8.92E-05
2.88038981,-2.88038981,-8.92E-05
-2.88038981,2.88038981,-8.92E-05
1.30268846,1.30268846,-1.39178429
-1.30268848,-1.30268848,-1.39178432
-1.30268859,1.30268858,-1.39178452
1.30268852,-1.30268853,-1.39178443
-1.84201592,0,2.82365525
1.84201592,0,2.82365525
0,-1.84201592,2.82365525
0,1.84201592,2.82365525
-1.83454964,0,-3.56857899
1.83454964,0,-3.56857899
0,-1.83454965,-3.56857899
0,1.83454965,-3.56857899
1.90317024,0,-0.94426138
-1.90317024,0,-0.94426138
0,1.90317024,-0.94426138
0,-1.90317024,-0.94426138
1.30691723,-3.14265882,0.97696105
-1.30691723,3.14265882,0.97696105
3.14265882,1.30691723,0.97696105
-3.14265882,-1.30691723,0.97696105
1.30691723,3.14265882,0.97696105
-1.30691723,-3.14265882,0.97696105
3.14265882,-1.30691723,0.97696105
-3.14265882,1.30691723,0.97696105
1.83552231,0,-0.19467233
-1.83552231,0,-0.19467232
0,1.83552231,-0.19467232
0,-1.83552231,-0.19467233
-4.49761922,0,-0.19958468
4.49761922,0,-0.19958468
0,-4.49761922,-0.19958468
0,4.49761922,-0.19958468
1.85229763,0,-2.80124222
-1.85229763,0,-2.80124222
0,1.85229763,-2.80124222
0,-1.85229763,-2.80124222
-1.32343512,3.15062702,1.59774961
1.32343512,-3.15062702,1.59774961
-3.15062702,-1.32343512,1.59774961
3.15062702,1.32343512,1.59774961
-1.32343512,-3.15062702,1.59774961
1.32343512,3.15062702,1.59774961
-3.15062702,1.32343512,1.59774961
3.15062702,-1.32343512,1.59774961
1.84518509,0,7.59728093
-1.84518509,0,7.59728093
0,1.84518509,7.59728093
0,-1.84518509,7.59728093
1.84528145,0,4.98095762
-1.84528145,0,4.98095762
0,1.84528145,4.98095762
0,-1.84528145,4.98095762
2.23354815,2.23354815,6.28918161
-2.23354815,-2.23354815,6.28918161
-2.23354815,2.23354815,6.28918161
2.23354815,-2.23354815,6.28918161
3.10581834,1.28645724,-9.43371008
-3.10581834,-1.28645724,-9.43371008
-1.28645724,3.10581834,-9.43371008
1.28645724,-3.10581834,-9.43371008
3.10581834,-1.28645724,-9.43371008
-3.10581834,1.28645724,-9.43371008
-1.28645724,-3.10581834,-9.43371008
1.28645724,3.10581834,-9.43371008
-1.83010985,-4.80E-05,-2.1582854
1.83010985,4.80E-05,-2.1582854
-5.04E-05,-1.83010409,-2.15828462
5.04E-05,1.83010409,-2.15828462
-1.84246081,3.86E-05,0.6276647
1.84246081,-3.86E-05,0.6276647
4.07E-05,-1.84245563,0.62765461
-4.07E-05,1.84245563,0.62765461
2.22461271,2.22461068,-0.89672654
-2.22461271,-2.22461068,-0.89672654
-2.22459364,2.2245921,-0.8966401
2.22459364,-2.2245921,-0.8966401
-3.6757608,-1.78234109,1.2136836
3.6757608,1.78234109,1.2136836
1.7822877,-3.67570293,1.2136253
-1.7822877,3.67570293,1.2136253
-3.67568793,1.78231063,1.21362641
3.67568793,-1.78231063,1.21362641
1.78231723,3.67577481,1.21368207
-1.78231723,-3.67577481,1.21368207
3.30919868,-1.74E-05,0.84069841
-3.30919868,1.74E-05,0.84069841
-4.05E-05,3.2277246,0.70841538
4.05E-05,-3.2277246,0.70841538
2.26390529,-5.61E-05,-1.60321896
-2.26390529,5.61E-05,-1.60321896
3.02E-05,1.33221558,-1.10471428
-3.02E-05,-1.33221558,-1.10471428
-1.31523126,-1.30959851,1.94393625
1.31523126,1.30959851,1.94393625
1.31663414,-1.31111199,1.94455203
-1.31663414,1.31111199,1.94455203
-4.52322173,1.29822078,-1.10340135
4.52322173,-1.29822078,-1.10340135
-2.30047412,-2.36833084,-0.26111541
2.30047412,2.36833084,-0.26111541
-4.52308505,-1.298287,-1.10349237
4.52308505,1.298287,-1.10349237
-2.30052512,2.36859551,-0.26165969
2.30052512,-2.36859551,-0.26165969
-1.85046454,0,2.67226471
1.85046454,0,2.67226471
0,-1.85046454,2.67226471
0,1.85046454,2.67226471
-1.96931484,0,-0.01150898
1.96931484,0,-0.01150898
0,-1.96931484,-0.01150898
0,1.96931484,-0.01150898
2.23842673,2.23842673,1.36364846
-2.23842673,-2.23842673,1.36364846
-2.23842673,2.23842673,1.36364846
2.23842673,-2.23842673,1.36364846
-1.29615025,-3.12229786,-2.01220209
1.29615025,3.12229786,-2.01220209
3.12229786,-1.29615025,-2.01220209
-3.12229786,1.29615025,-2.01220209
-1.29615025,3.12229786,-2.01220209
1.29615025,-3.12229786,-2.01220209
3.12229786,1.29615025,-2.01220209
-3.12229786,-1.29615025,-2.01220209
1.64966665,-0.21887759,-0.21535564
-2.56231538,0.08143184,-0.59332731
-0.21888636,1.64957334,-0.21532539
0.08143576,-2.56229124,-0.59332289
2.27794437,2.27797536,0.30899845
-2.54726032,-2.54726261,-0.17547848
-2.48477508,2.66466534,-0.95962569
2.66467387,-2.48481596,-0.95960427
-1.60854365,-1.60853898,-2.4240667
1.55259438,1.55262589,-2.18124636
0.93861201,-0.99626453,-2.62143152
-0.99628705,0.93862479,-2.6214319
-0.91013409,-2.75521561,1.86146914
0.40110638,2.26628374,2.25044509
3.94171034,-1.16302455,0.92018527
-2.13328633,1.60567288,1.59352576
-1.1629997,3.94169217,0.92016987
1.60566335,-2.13324752,1.59352835
2.26630277,0.40112417,2.25042775
-2.75522192,-0.91013094,1.8614665
3.16554304,0,1.36272119
-3.16554304,0,1.36272119
0,3.16554304,1.36272119
0,-3.16554304,1.36272119
1.39252545,1.39252545,-0.01146708
-1.39252545,-1.39252545,-0.01146708
-1.39252545,1.39252545,-0.01146708
1.39252545,-1.39252545,-0.01146708
1.30857147,1.30857147,2.67212479
-1.30857147,-1.30857147,2.67212479
-1.30857147,1.30857147,2.67212479
1.30857147,-1.30857147,2.67212479
-1.29130398,-3.12466899,-2.01168945
1.29130398,3.12466899,-2.01168945
3.12466899,-1.29130398,-2.01168945
-3.12466899,1.29130398,-2.01168945
-1.29130398,3.12466899,-2.01168945
1.29130398,-3.12466899,-2.01168945
3.12466899,1.29130398,-2.01168945
-3.12466899,-1.29130398,-2.01168945
2.64778211,-1.52024313,1.00378989
-2.64778208,1.52024309,1.00378984
-0.17880456,2.66456046,1.41708334
0.17880461,-2.66456033,1.41708317
1.73878508,0.9850963,0.62371471
-1.73878492,-0.98509611,0.62371463
-0.64645544,1.12169561,-0.63698665
0.64645551,-1.1216953,-0.6369866
0.96157401,1.15260463,3.33799828
-0.96157386,-1.15260466,3.33799828
-1.64926813,1.37951455,3.51876475
1.6492681,-1.37951455,3.51876486
4.18089185,-1.95245592,3.08292232
-4.18089194,1.95245564,3.08292239
-0.07709453,3.54390955,3.85803779
0.0770942,-3.54390963,3.85803763
3.41348667,0.49565599,2.60040193
-3.41348659,-0.49565615,2.60040187
2.34373281,-3.71624761,2.53972285
-2.34373291,3.71624756,2.53972278
2.9362751,2.9362751,0.35895786
-2.9362751,-2.9362751,0.35895786
-2.9362751,2.9362751,0.35895786
2.9362751,-2.9362751,0.35895786
1.30089469,1.30089469,1.5024921
-1.30089469,-1.30089469,1.5024921
-1.30089469,1.30089469,1.5024921
1.30089469,-1.30089469,1.5024921
-1.37885649,-1.37885649,-1.1071282
1.37885649,1.37885649,-1.1071282
1.37885649,-1.37885649,-1.1071282
-1.37885649,1.37885649,-1.1071282
1.29156647,-3.11941597,-3.07163482
-1.29156647,3.11941597,-3.07163482
3.11941597,1.29156647,-3.07163482
-3.11941597,-1.29156647,-3.07163482
1.29156647,3.11941597,-3.07163482
-1.29156647,-3.11941597,-3.07163482
3.11941597,-1.29156647,-3.07163482
-3.11941597,1.29156647,-3.07163482
2.85768211,3.15503993,-1.44699705
-2.85768203,-3.15503997,-1.44699716
-3.27498999,2.91780466,-1.12952769
3.27498992,-2.91780432,-1.12952817
1.59605569,0.86824704,-1.1143403
-1.59605574,-0.86824705,-1.11434021
-0.92530693,1.68513428,-1.00715956
0.92530688,-1.68513425,-1.00715944
-1.18167999,-0.58426747,1.59368423
1.18167978,0.58426753,1.5936841
1.05928469,-2.07800012,1.61780146
-1.05928488,2.07800018,1.61780115
1.06929692,3.03177479,0.4458266
-1.06929687,-3.03177492,0.44582645
-3.05548432,0.82423511,0.39997641
3.05548414,-0.82423544,0.39997642
1.24217174,-4.13803546,-0.05644372
-1.24217128,4.13803569,-0.05644411
-3.35657912,-1.7543718,0.69718033
3.35657926,1.75437161,0.6971803
2.44579113,2.44579113,-0.69365041
-2.44579113,-2.44579113,-0.69365041
-2.44579113,2.44579113,-0.69365041
2.44579113,-2.44579113,-0.69365041
3.11110014,3.11110014,1.7061068
-3.11110014,-3.11110014,1.7061068
-3.11110014,3.11110014,1.7061068
3.11110014,-3.11110014,1.7061068
1.29909949,1.29909949,1.37474475
-1.29909949,-1.29909949,1.37474475
-1.29909949,1.29909949,1.37474475
1.29909949,-1.29909949,1.37474475
3.11704993,-1.28787294,-2.92145973
-3.11704993,1.28787294,-2.92145973
1.28787294,3.11704993,-2.92145973
-1.28787294,-3.11704993,-2.92145973
3.11704993,1.28787294,-2.92145973
-3.11704993,-1.28787294,-2.92145973
1.28787294,-3.11704993,-2.92145973
-1.28787294,3.11704993,-2.92145973
-3.36554198,0,0.53413071
3.36554198,0,0.53413071
0,-3.36554198,0.53413071
0,3.36554198,0.53413071
3.11825507,1.29541809,2.77774151
-3.11825507,-1.29541809,2.77774151
-1.29541809,3.11825507,2.77774151
1.29541809,-3.11825507,2.77774151
3.11825507,-1.29541809,2.77774151
-3.11825507,1.29541809,2.77774151
-1.29541809,-3.11825507,2.77774151
1.29541809,3.11825507,2.77774151
-3.11825443,1.29551876,-1.70928899
3.11825443,-1.29551876,-1.70928899
-1.29551876,-3.11825443,-1.70928899
1.29551876,3.11825443,-1.70928899
-3.11825443,-1.29551876,-1.70928899
3.11825443,1.29551876,-1.70928899
-1.29551876,3.11825443,-1.70928899
1.29551876,-3.11825443,-1.70928899
3.35394136,-6.19E-06,-1.19221269
-3.35394136,6.19E-06,-1.19221269
-6.19E-06,3.35394147,-1.19221301
6.19E-06,-3.35394147,-1.19221301
-1.29536862,3.11816317,-3.43740032
1.29536862,-3.11816317,-3.43740032
-3.11817151,-1.29537219,-3.43741086
3.11817151,1.29537219,-3.43741086
-1.29537219,-3.11817216,-3.43741123
1.29537219,3.11817216,-3.43741123
-3.11816252,1.29536863,-3.43739995
3.11816252,-1.29536863,-3.43739995
-3.11810767,1.29538381,1.05302203
3.11810767,-1.29538381,1.05302203
-1.29538395,-3.11811447,1.05303397
1.29538395,3.11811447,1.05303397
-3.11811456,-1.29538397,1.05303432
3.11811456,1.29538397,1.05303432
-1.29538379,3.11810758,1.05302168
1.29538379,-3.11810758,1.05302168
-0.90924758,-0.93330775,2.14262767
0.90924659,0.93330571,2.14262918
0.35924083,-1.24395954,4.4137866
-0.35924069,1.2439595,4.41378857
-3.94928677,-2.48316863,4.15471175
3.94928684,2.48316929,4.15471219
3.45803052,-4.38395488,4.99837623
-3.45802977,4.3839548,4.99837662
-5.26577001,2.5854452,5.50472664
5.26576995,-2.585445,5.50472727
3.24440281,4.841403,3.37797592
-3.24440324,-4.84140333,3.37797649
-1.39434254,-3.0403883,3.72357595
1.39434325,3.0403884,3.72357544
2.83446104,-1.84318503,4.96132855
-2.8344613,1.84318565,4.96132889
-1.04815673,3.75361464,4.30336292
1.0481563,-3.75361395,4.30336204
2.19123548,0.60763826,4.43322201
-2.191235,-0.60763804,4.43322099
1.32606858,1.32194595,2.17700477
-1.32606858,-1.32194595,2.17700477
-1.32675337,1.31879351,2.1769847
1.32675337,-1.31879351,2.1769847
3.37384149,-1.29408074,3.87334182
-3.37384149,1.29408074,3.87334182
1.2971376,2.80429946,4.38265383
-1.2971376,-2.80429946,4.38265383
3.37257941,1.29371897,3.87394193
-3.37257941,-1.29371897,3.87394193
1.29662733,-2.80172597,4.38301253
-1.29662733,2.80172597,4.38301253
3.81596151,1.29483496,1.28358611
-3.81596151,-1.29483496,1.28358611
-2.89297718,3.42987561,2.42820939
2.89297718,-3.42987561,2.42820939
3.81598033,-1.29539526,1.2829464
-3.81598033,1.29539526,1.2829464
-2.8954652,-3.43044773,2.42895365
2.8954652,3.43044773,2.42895365
-1.00134221,-0.94840061,-4.91803455
-0.19358207,-0.26023875,4.37607414
-0.07004799,-0.07952851,1.81910975
-0.66223947,-0.72687253,-2.38458532
-3.33660393,0.13855783,-0.13362466
3.54113914,0.10010871,0.28417672
0.63392974,-3.25853676,-0.16491754
-0.39923301,3.53960934,0.1013417
5.4979115,-1.56633849,0.03639216
-5.26776618,1.84726357,-0.28635319
0.18046575,6.01782672,0.63941621
0.16840404,-5.74467697,0.39324712
2.03816038,4.22467878,0.79619064
-1.79076513,-4.05316438,0.46889996
-2.82509817,2.71884211,-0.29727965
3.07730768,-2.42330522,-0.30717206
1.52725885,1.717409,0.44572824
-1.37538689,-1.54867554,-0.00691037
-0.83072477,1.02648322,-0.42809104
1.08821274,-0.7210415,-0.43360825
0,0,4.44066979
0,0,-4.44066979
0,0,-1.87403893
0,0,1.87403893
-6.10853712,0,0
6.10853712,0,0
0,-6.10853712,0
0,6.10853712,0
-3.54412452,0,0
